Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,8,5,2,1,1,1,13,10,6,1,0,0,1,1,0,20,0,0,0,0.0,0,0,10.8,1.4,1.74,Dropout
1,6,1,11,1,1,1,1,3,4,1,0,0,0,1,0,19,0,6,6,14.0,0,0,13.9,-0.3,0.79,Graduate
1,1,5,5,1,1,1,22,27,10,1,0,0,0,1,0,19,0,0,0,0.0,0,0,10.8,1.4,1.74,Dropout
1,8,2,15,1,1,1,23,27,6,1,0,0,1,0,0,20,0,8,6,13.428571428571429,0,0,9.4,-0.8,-3.12,Graduate
2,12,1,3,0,1,1,22,28,10,0,0,0,1,0,0,45,0,9,5,12.333333333333334,0,0,13.9,-0.3,0.79,Graduate
2,12,1,17,0,12,1,22,27,10,0,0,1,1,1,0,50,0,10,5,11.857142857142858,0,5,16.2,0.3,-0.92,Graduate
1,1,1,12,1,1,1,13,28,8,1,0,0,1,0,1,18,0,9,7,13.3,0,0,15.5,2.8,-4.06,Graduate
1,9,4,11,1,1,1,22,27,10,1,0,0,0,1,0,22,0,5,0,0.0,0,0,15.5,2.8,-4.06,Dropout
1,1,3,10,1,1,15,1,1,10,0,0,0,1,0,1,21,0,8,6,13.875,0,0,16.2,0.3,-0.92,Graduate
1,1,1,10,1,1,1,1,14,5,1,0,1,0,0,0,18,0,9,5,11.4,0,0,8.9,1.4,3.51,Dropout
1,1,1,14,1,1,1,23,14,6,1,0,0,1,0,0,18,0,6,6,12.333333333333334,0,0,13.9,-0.3,0.79,Graduate
1,1,1,12,1,1,1,13,28,10,1,0,0,1,0,1,18,0,8,7,13.214285714285714,0,0,12.7,3.7,-1.7,Graduate
1,1,2,16,1,1,1,13,27,5,1,0,0,1,0,0,19,0,6,0,0.0,0,0,12.7,3.7,-1.7,Dropout
1,17,1,11,1,16,1,1,1,5,1,0,0,1,0,1,21,0,7,6,10.571428571428571,0,0,8.9,1.4,3.51,Graduate
1,1,1,6,1,1,1,23,27,6,1,0,0,1,0,1,18,0,7,4,13.25,0,0,10.8,1.4,1.74,Graduate
1,1,1,15,1,1,1,13,27,10,1,0,0,1,0,0,20,0,6,5,13.2,0,0,15.5,2.8,-4.06,Dropout
1,9,1,10,1,1,1,13,28,6,1,0,0,1,0,0,18,0,10,1,12.0,0,0,10.8,1.4,1.74,Enrolled
